Iteration,Current job deadline,Added intervals,Added length,Job considered
1,24,"[4, 24)",20,J1
2,40,"[28, 40)",12,J2
3,55,"[41, 55)",14,J3
4,70,"[61, 70)",9,J5
5,71,"[60, 61); [70, 71)",2,J4
6,80,"[57, 60); [71, 80)",12,J6
7,95,"[83, 95)",12,J7
8,95,none,0,J8
9,110,"[97, 110)",13,J9
10,125,"[116, 125)",9,J11
11,126,"[114, 116); [125, 126)",3,J10
12,135,"[112, 114); [126, 135)",11,J12
13,150,"[139, 150)",11,J14
14,151,"[138, 139); [150, 151)",2,J13
15,166,"[153, 166)",13,J15
16,181,"[170, 181)",11,J16
17,181,none,0,J17
18,190,"[168, 170); [181, 190)",11,J18
19,206,"[193, 206)",13,J19
20,221,"[207, 221)",14,J20
21,221,none,0,J21
22,237,"[226, 237)",11,J22
23,246,"[223, 226); [237, 246)",12,J24
24,252,"[251, 252)",1,J23
25,261,"[249, 251); [252, 261)",11,J25
26,276,"[266, 276)",10,J27
27,277,"[262, 266); [276, 277)",5,J26
28,292,"[282, 292)",10,J28
29,301,"[280, 282); [292, 301)",11,J30
30,307,"[305, 307)",2,J29
31,316,"[304, 305); [307, 316)",10,J31
32,332,"[317, 332)",15,J32
33,332,none,0,J33
34,347,"[337, 347)",10,J34
35,363,"[349, 363)",14,J35
36,372,"[347, 349); [363, 372)",11,J36
37,372,none,0,J37
38,387,"[376, 387)",11,J38
39,402,"[390, 402)",12,J40
40,403,"[388, 390); [402, 403)",3,J39
41,418,"[409, 418)",9,J41
42,427,"[405, 409); [418, 427)",13,J42
43,427,none,0,J43
44,443,"[431, 443)",12,J44
45,458,"[444, 458)",14,J45
46,458,none,0,J46
47,473,"[464, 473)",9,J47
48,482,"[462, 464); [473, 482)",11,J49
49,483,"[460, 462); [482, 483)",3,J48
50,498,"[487, 498)",11,J50
51,513,"[499, 513)",14,J51
52,528,"[519, 528)",9,J53
53,529,"[518, 519); [528, 529)",2,J52
54,538,"[515, 518); [529, 538)",12,J54
55,553,"[542, 553)",11,J56
56,554,"[541, 542); [553, 554)",2,J55
57,569,"[556, 569)",13,J57
58,584,"[573, 584)",11,J58
59,584,none,0,J59
60,593,"[571, 573); [584, 593)",11,J60
61,608,"[597, 608)",11,J62
62,609,"[596, 597); [608, 609)",2,J61
63,624,"[611, 624)",13,J63
64,639,"[631, 639)",8,J65
65,640,"[628, 631); [639, 640)",4,J64
66,649,"[626, 628); [640, 649)",11,J66
67,664,"[652, 664)",12,J67
68,679,"[667, 679)",12,J69
69,680,"[665, 667); [679, 680)",3,J68
70,695,"[685, 695)",10,J70
71,704,"[682, 685); [695, 704)",12,J72
72,710,"[709, 710)",1,J71
73,719,"[707, 709); [710, 719)",11,J73
74,735,"[720, 735)",15,J74
75,735,none,0,J75
76,750,"[740, 750)",10,J76
77,759,"[738, 740); [750, 759)",11,J78
78,766,"[763, 766)",3,J77
79,775,"[762, 763); [766, 775)",10,J79
80,790,"[776, 790)",14,J80
81,790,none,0,J81
82,805,"[795, 805)",10,J82
83,821,"[807, 821)",14,J83
84,830,"[805, 807); [821, 830)",11,J84
85,830,none,0,J85
86,846,"[834, 846)",12,J86
87,861,"[847, 861)",14,J87
88,861,none,0,J88
89,876,"[867, 876)",9,J89
90,885,"[864, 867); [876, 885)",12,J91
91,886,"[863, 864); [885, 886)",2,J90
92,901,"[890, 901)",11,J92
93,916,"[902, 916)",14,J93
94,916,none,0,J94
95,931,"[922, 931)",9,J95
96,941,"[918, 922); [931, 941)",14,J96
97,941,none,0,J97
98,956,"[945, 956)",11,J98
99,972,"[957, 972)",15,J99
100,987,"[977, 987)",10,J100
101,987,none,0,J101
102,996,"[974, 977); [987, 996)",12,J102
103,1011,"[1000, 1011)",11,J104
104,1012,"[999, 1000); [1011, 1012)",2,J103
105,1027,"[1014, 1027)",13,J105
106,1042,"[1033, 1042)",9,J107
107,1043,"[1031, 1033); [1042, 1043)",3,J106
108,1052,"[1029, 1031); [1043, 1052)",11,J108
109,1067,"[1055, 1067)",12,J109
110,1067,none,0,J110
111,1082,"[1069, 1082)",13,J111
112,1097,"[1089, 1097)",8,J113
113,1098,"[1086, 1089); [1097, 1098)",4,J112
114,1107,"[1084, 1086); [1098, 1107)",11,J114
115,1122,"[1110, 1122)",12,J115
116,1138,"[1123, 1138)",15,J116
117,1138,none,0,J117
118,1153,"[1143, 1153)",10,J118
119,1162,"[1140, 1143); [1153, 1162)",12,J120
120,1169,"[1167, 1169)",2,J119
121,1178,"[1165, 1167); [1169, 1178)",11,J121
122,1193,"[1179, 1193)",14,J122
123,1193,none,0,J123
124,1208,"[1198, 1208)",10,J124
125,1217,"[1196, 1198); [1208, 1217)",11,J126
126,1224,"[1221, 1224)",3,J125
127,1233,"[1220, 1221); [1224, 1233)",10,J127
128,1248,"[1238, 1248)",10,J129
129,1249,"[1234, 1238); [1248, 1249)",5,J128
130,1264,"[1254, 1264)",10,J130
131,1279,"[1266, 1279)",13,J131
132,1288,"[1280, 1288)",8,J133
133,1289,"[1264, 1266); [1279, 1280); [1288, 1289)",4,J132
134,1304,"[1293, 1304)",11,J134
135,1319,"[1305, 1319)",14,J135
136,1319,none,0,J136
137,1334,"[1325, 1334)",9,J137
138,1344,"[1321, 1325); [1334, 1344)",14,J138
139,1344,none,0,J139
140,1359,"[1348, 1359)",11,J140
141,1374,"[1364, 1374)",10,J142
142,1375,"[1360, 1364); [1374, 1375)",5,J141
143,1390,"[1381, 1390)",9,J143
144,1399,"[1377, 1381); [1390, 1399)",13,J144
145,1399,none,0,J145
146,1414,"[1403, 1414)",11,J146
147,1430,"[1415, 1430)",15,J147
148,1445,"[1436, 1445)",9,J149
149,1446,"[1435, 1436); [1445, 1446)",2,J148
150,1455,"[1432, 1435); [1446, 1455)",12,J150
151,1470,"[1458, 1470)",12,J151
152,1470,none,0,J152
153,1485,"[1472, 1485)",13,J153
154,1500,"[1491, 1500)",9,J155
155,1501,"[1489, 1491); [1500, 1501)",3,J154
156,1510,"[1487, 1489); [1501, 1510)",11,J156
157,1525,"[1513, 1525)",12,J157
158,1525,none,0,J158
159,1541,"[1527, 1541)",14,J159
160,1556,"[1545, 1556)",11,J160
161,1556,none,0,J161
162,1565,"[1543, 1545); [1556, 1565)",11,J162
163,1581,"[1568, 1581)",13,J163
164,1596,"[1582, 1596)",14,J164
165,1596,none,0,J165
166,1611,"[1601, 1611)",10,J166
167,1620,"[1598, 1601); [1611, 1620)",12,J168
168,1627,"[1625, 1627)",2,J167
169,1636,"[1623, 1625); [1627, 1636)",11,J169
170,1651,"[1641, 1651)",10,J171
171,1652,"[1637, 1641); [1651, 1652)",5,J170
172,1667,"[1657, 1667)",10,J172
173,1676,"[1655, 1657); [1667, 1676)",11,J174
174,1682,"[1680, 1682)",2,J173
175,1691,"[1679, 1680); [1682, 1691)",10,J175
176,1706,"[1696, 1706)",10,J177
177,1707,"[1692, 1696); [1706, 1707)",5,J176
178,1722,"[1712, 1722)",10,J178
179,1737,"[1724, 1737)",13,J179
180,1747,"[1722, 1724); [1737, 1747)",12,J180
181,1747,none,0,J181
182,1762,"[1751, 1762)",11,J182
183,1777,"[1765, 1777)",12,J184
184,1778,"[1763, 1765); [1777, 1778)",3,J183
185,1793,"[1784, 1793)",9,J185
186,1802,"[1780, 1784); [1793, 1802)",13,J186
187,1802,none,0,J187
188,1817,"[1806, 1817)",11,J188
189,1833,"[1818, 1833)",15,J189
190,1833,none,0,J190
191,1848,"[1839, 1848)",9,J191
192,1857,"[1837, 1839); [1848, 1857)",11,J193
193,1858,"[1835, 1837); [1857, 1858)",3,J192
194,1873,"[1862, 1873)",11,J194
195,1888,"[1874, 1888)",14,J195
196,1903,"[1894, 1903)",9,J197
197,1904,"[1893, 1894); [1903, 1904)",2,J196
198,1913,"[1890, 1893); [1904, 1913)",12,J198
199,1928,"[1916, 1928)",12,J199
200,1928,none,0,J200
